Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 9,Value 9
record,timestamp,1092223363,position_lat,468057432,position_long,-916450211.0,distance,580.0,enhanced_speed,2.799,enhanced_altitude,134.20000000000005,cadence,83.0
record,timestamp,1092223370,position_lat,468055432,position_long,-916449068.0,distance,600.37,enhanced_speed,2.818,enhanced_altitude,134.60000000000002,cadence,85.0
record,timestamp,1092223371,position_lat,468055171,position_long,-916448954.0,distance,602.94,enhanced_speed,2.818,enhanced_altitude,134.60000000000002,cadence,85.0
record,timestamp,1092223379,position_lat,468053001,position_long,-916448070.0,distance,624.08,enhanced_speed,2.799,enhanced_altitude,135.39999999999998,cadence,83.0
record,timestamp,1092223380,position_lat,468052723,position_long,-916447964.0,distance,626.77,enhanced_speed,2.799,enhanced_altitude,135.60000000000002,cadence,83.0
record,timestamp,1092223385,position_lat,468051595,position_long,-916446987.0,distance,639.52,enhanced_speed,2.781,enhanced_altitude,135.79999999999995,cadence,83.0
record,timestamp,1092223391,position_lat,468049872,position_long,-916445960.0,distance,657.18,enhanced_speed,2.79,enhanced_altitude,136.60000000000002,cadence,84.0
record,timestamp,1092223393,position_lat,468049306,position_long,-916445653.0,distance,662.89,enhanced_speed,2.79,enhanced_altitude,136.79999999999995,cadence,84.0
record,timestamp,1092223398,position_lat,468047975,position_long,-916444838.0,distance,676.65,enhanced_speed,2.79,enhanced_altitude,137.39999999999998,cadence,84.0
record,timestamp,1092223400,position_lat,468047449,position_long,-916444451.0,distance,682.28,enhanced_speed,2.79,enhanced_altitude,137.39999999999998,cadence,84.0
record,timestamp,1092223404,position_lat,468046483,position_long,-916443966.0,distance,691.99,enhanced_speed,2.79,enhanced_altitude,137.60000000000002,cadence,84.0
record,timestamp,1092223408,position_lat,468045624,position_long,-916443773.0,distance,700.11,enhanced_speed,2.762,enhanced_altitude,138.20000000000005,cadence,85.0
record,timestamp,1092223411,position_lat,468044920,position_long,-916443471.0,distance,706.98,enhanced_speed,2.715,enhanced_altitude,138.60000000000002,cadence,84.0
record,timestamp,1092223415,position_lat,468043742,position_long,-916442905.0,distance,718.66,enhanced_speed,2.743,enhanced_altitude,138.79999999999995,cadence,84.0
record,timestamp,1092223423,position_lat,468041517,position_long,-916441704.0,distance,741.01,enhanced_speed,2.697,enhanced_altitude,139.39999999999998,cadence,83.0
record,timestamp,1092223424,position_lat,468041257,position_long,-916441504.0,distance,743.82,enhanced_speed,2.678,enhanced_altitude,139.60000000000002,cadence,83.0
record,timestamp,1092223425,position_lat,468040990,position_long,-916441283.0,distance,746.77,enhanced_speed,2.678,enhanced_altitude,139.79999999999995,cadence,83.0
record,timestamp,1092223429,position_lat,468039805,position_long,-916440764.0,distance,758.39,enhanced_speed,2.725,enhanced_altitude,139.79999999999995,cadence,83.0
record,timestamp,1092223435,position_lat,468038217,position_long,-916439602.0,distance,775.49,enhanced_speed,2.743,enhanced_altitude,140.39999999999998,cadence,82.0
record,timestamp,1092223440,position_lat,468036917,position_long,-916438895.0,distance,788.63,enhanced_speed,2.706,enhanced_altitude,141.0,cadence,85.0
record,timestamp,1092223447,position_lat,468035139,position_long,-916438111.0,distance,806.81,enhanced_speed,2.687,enhanced_altitude,141.39999999999998,cadence,83.0
record,timestamp,1092223451,position_lat,468034244,position_long,-916437697.0,distance,813.77,enhanced_speed,2.669,enhanced_altitude,142.0,cadence,83.0
record,timestamp,1092223456,position_lat,468033047,position_long,-916437219.0,distance,825.48,enhanced_speed,2.594,enhanced_altitude,142.20000000000005,cadence,83.0
record,timestamp,1092223463,position_lat,468031119,position_long,-916436335.0,distance,844.66,enhanced_speed,2.603,enhanced_altitude,142.79999999999995,cadence,83.0
record,timestamp,1092223466,position_lat,468030224,position_long,-916435736.0,distance,854.05,enhanced_speed,2.613,enhanced_altitude,143.0,cadence,83.0
record,timestamp,1092223470,position_lat,468029082,position_long,-916434888.0,distance,866.36,enhanced_speed,2.65,enhanced_altitude,143.39999999999998,cadence,84.0
record,timestamp,1092223475,position_lat,468027481,position_long,-916434155.0,distance,882.14,enhanced_speed,2.669,enhanced_altitude,144.0,cadence,84.0
record,timestamp,1092223478,position_lat,468026538,position_long,-916433673.0,distance,891.61,enhanced_speed,2.715,enhanced_altitude,144.20000000000005,cadence,83.0
record,timestamp,1092223482,position_lat,468025380,position_long,-916432986.0,distance,903.51,enhanced_speed,2.743,enhanced_altitude,144.60000000000002,cadence,83.0
record,timestamp,1092223485,position_lat,468024545,position_long,-916432307.0,distance,912.7,enhanced_speed,2.743,enhanced_altitude,144.79999999999995,cadence,83.0
record,timestamp,1092223487,position_lat,468023952,position_long,-916431743.0,distance,919.56,enhanced_speed,2.837,enhanced_altitude,145.0,cadence,83.0
record,timestamp,1092223492,position_lat,468022812,position_long,-916430612.0,distance,932.97,enhanced_speed,2.79,enhanced_altitude,145.39999999999998,cadence,83.0
record,timestamp,1092223498,position_lat,468021462,position_long,-916429306.0,distance,948.67,enhanced_speed,2.678,enhanced_altitude,146.0,cadence,83.0
record,timestamp,1092223499,position_lat,468021238,position_long,-916429109.0,distance,951.2,enhanced_speed,2.706,enhanced_altitude,146.20000000000005,cadence,83.0
record,timestamp,1092223502,position_lat,468020597,position_long,-916428372.0,distance,959.22,enhanced_speed,2.743,enhanced_altitude,146.20000000000005,cadence,83.0
record,timestamp,1092223508,position_lat,468018903,position_long,-916426563.0,distance,979.77,enhanced_speed,2.986,enhanced_altitude,146.39999999999998,cadence,83.0
record,timestamp,1092223514,position_lat,468017602,position_long,-916424706.0,distance,998.03,enhanced_speed,3.014,enhanced_altitude,146.60000000000002,cadence,85.0
record,timestamp,1092223519,position_lat,468016552,position_long,-916423126.0,distance,1013.09,enhanced_speed,3.032,enhanced_altitude,147.20000000000005,cadence,84.0
record,timestamp,1092223520,position_lat,468016398,position_long,-916422849.0,distance,1015.55,enhanced_speed,3.023,enhanced_altitude,147.39999999999998,cadence,83.0
record,timestamp,1092223527,position_lat,468015146,position_long,-916421056.0,distance,1033.11,enhanced_speed,2.93,enhanced_altitude,147.60000000000002,cadence,82.0
record,timestamp,1092223529,position_lat,468014840,position_long,-916420626.0,distance,1037.33,enhanced_speed,2.893,enhanced_altitude,147.60000000000002,cadence,82.0
record,timestamp,1092223532,position_lat,468014194,position_long,-916419822.0,distance,1045.82,enhanced_speed,2.818,enhanced_altitude,147.60000000000002,cadence,82.0
record,timestamp,1092223533,position_lat,468013857,position_long,-916419687.0,distance,1049.08,enhanced_speed,2.846,enhanced_altitude,147.60000000000002,cadence,82.0
record,timestamp,1092223536,position_lat,468012884,position_long,-916420014.0,distance,1058.57,enhanced_speed,2.911,enhanced_altitude,147.60000000000002,cadence,82.0
record,timestamp,1092223544,position_lat,468010700,position_long,-916421820.0,distance,1079.43,enhanced_speed,3.032,enhanced_altitude,147.79999999999995,cadence,84.0
record,timestamp,1092223546,position_lat,468010162,position_long,-916422303.0,distance,1085.55,enhanced_speed,3.06,enhanced_altitude,147.79999999999995,cadence,84.0
record,timestamp,1092223548,position_lat,468009608,position_long,-916422779.0,distance,1088.6,enhanced_speed,3.042,enhanced_altitude,147.79999999999995,cadence,84.0
